00後	línglínghòu
䲱	fǎng
䒦	fàn
㕨	fàn
𠆩	fán
䮳	fán
䀀	fàn
䩁	fēi
𧶢	fèi
䰁	fèi
䏎	féng,hàn
㒥	fēng
𩸂	fèn
𩰟	fēn
䴅	fén
𧟰	fiào
fighting	?
㟊	fú
䀟	fú
䋹	fú
𩖼	fú
𩵹	fù
䌗	fǔ
㝬	fū
𩵩	fū
䭻	fù
𥠵	fù
𤙭	fǔ
䱐	fū
䭮	fú
䳕	fú
㓡	fǔ
䵾	fú
𪧰	fù
䏗	gài
䶣	gāi
㽘	gǎng
鿍	gàng
䴚	gǎng
㓧	gān
䲺	gàn
𩚵	gān
䵟	gǎn
㽏	gàn
𠁥	gǎ
gay裡gay氣	gēiligēiqì,gèiligèiqì,gēilǐgēiqì,gèilǐgèiqì
䫦	gé,kài
𧰨	gèng
䱭	gèng
䱍	gèng
䗘	gé
䨣	gé
䪺	gé
𤕒	gě
GG	gēge
GG	gūgou,gǔgē
GG	jìjì,jījī,jūjū
GG	jījī
䲲	gōng,sōng
䳍	gōng
䰸	gōng
𣏇	gōng
㓚	gōng
䱋	gǒng
㓋	gòng
𢀜	gǒng
䵶	gōu
䯏	guā,huá
𦫳	guǎi
𧊅	guǎi
𨤡	guàng
䗆	guǎn
䗆	guān
𢇇	guān
𠯑	guā
䲅	guī
䵪	gùn
𠃌	gǔn
𦗒	guō
䮩	gú
𠑹	gǔ
䶜	gǔ
㒴	gǔ
GV	?
G力	jì-lì
G點	jì diǎn
䱺	hái
㺔	hài
𪗜	háng
䲳	háng
䮧	hàn,hán
㘚	hān
䶃	hán
㒈	hàn
𢎘	hàn
㑵	hàn
䧫	háo
𠢕	háo
㚪	hào
𨭆	hēi
䯨	hè,qiāo
䏜	hē
䶅	hé
𬌗	hé
䮤	hé
䶎	hē
㓭	hé
hold住	hōuzhù
鿁	hòng
䳧	hóu
𤆴	huāng
𠂸	huáng
㿠	huàng
䍺	huàn
䴟	huán
䭴	huán
𩡧	huán
䱻	huá
䴳	huá
㠏	huá
䶤	huá
𪗽	huá
𤜡	huí
㑰	huì
䤧	huì
㺔	huī
䵻	huì
㷄	huǐ
𤸁	huì
㺀	hū,náo
䴷	hún,huàn
䮝	hún
㑮	hún
㘞	huò
㸌	huò
㺢	huò
𣄸	huò
䱛	huò,xù,yì
䰥	huò,yù
䇘	hù
䓤	hū
䴣	hū
䴯	hū
䭍	hú
䰧	hū
㗅	hú
H股	éichigǔ
IC卡	āi-sēi kǎ
IP位址	Āi Pì wèizhǐ
IP地址	Āi Pì dìzhǐ
𣴓	jiàn
𠼢	jiàng
𩟗	jiǎn
㦰	jiān
㓺	jiān
𩆷	jiān
䶬	jiān
䭙	jiàn
䵤	jiǎn
䶠	jiǎn
䭈	jiàn
䭠	jiǎn
䶢	jiān,xián
䭕	jiǎn,zǎn
𥡤	jiào
𪚰	jiāo
𥄉	jiāo
䶰	jiāo
𩛩	jiá
𤠙	jiā
䖬	jiǎ
䀫	jiá
𪙏	jiá
𠄍	jié
䲸	jiè
䲙	jié
㛃	jié
㝩	jié
𪙏	jiè
䯰	jiè
𢈻	Jié
㡭	jì,kuí
㗊	jí
𪵔	jīng
䫴	jìn
䭙	jǐn
䶖	jìn
䀆	jìn
𪱗	jīn
㓏	jiǒng
㘍	jí
㑧	jì
㨈	jǐ
㚻	jī
𠀷	jī
𣪠	jī
䲯	jí
䮺	jì
㑑	jì
䶓	jì
䰏	jì
䶩	jì
㛷	jī
䳭	jí
𠃺	jiù
䳎	jiù
𤴦	jiū
JJ	jiějie
JJ	jījī
㪻	juàn
𢍏	juàn
䳪	juàn,tuán
龹	juǎnzìtóu,juànzìtóu
㔃	jué,pì
𠄑	jué
𠊬	jué
𠄌	jué
䳔	jú,jiù
䱟	jù,jū
㕙	jùn
㚬	jūn
㒞	jùn
䵕	jù
䱡	jú
䀠	jù
䶙	jù
𠨭	jú
䰬	jú
K2	kēi-èr,kèi-èr
K2峰	kēi-èr fēng,kèi-èr fēng
𤡲	kāi
㝩	kāng
㝩	kǎng
䳚	kàn,hé
䯪	kǎo,kào
䯌	kāo
㛈	kǎo
㮟	kā
䶗	kè,qiā,qiǎ
K	kēi,kèi
㚚	kōng
𤆺	kǒng
㓂	kòu
䳹	kòu
䯤	kuài
䵃	kuàng,huáng
㚚	kuāng,kōng
䯑	kuāng
䲌	kuǎn
𡕒	kuà
𪗽	kuā
䯞	kuā
𡕒	kuà
㛻	kuā
䯣	kuì,guì
䙡	kuì,huì
㒑	kuǐ,huì
㙓	kuí
䙆	kuì
𧅄	kuí
䯓	kuī
䳫	kuí
䰎	kuì
䖵	kūn
㱎	kūn
𪗽	kuò
㠸	kù
龲	kù
𫏁	kú
䯇	kū
䵈	kù
K他命	kēitāmìng,kèitāmìng
K房	kēifáng
K歌	kēigē
K粉	kēifěn
K線	kèixiàn
K金	kēijīn
䲚	lài
䱶	láng
䯖	láng
𨷻	lán,luán
㑣	lán
𠓖	lán
𥗽	lán
𤣟	Lǎn
㛦	lǎn
䰐	lán
㑑	lǎn
㩜	lǎn
䝤	lǎo,liáo
𡑍	láo
䲏	láo
䳓	lǎo
𠈭	láo
㧯	lǎo
䵏	lǎo
䱨	là
䶛	là
㑍	lèi,lěi
㒍	léi,lěi
䮑	lèi,luò
𩇓	léi
㗊	léi
㹎	léi
㶟	lěi
𧒽	léi
㒦	lěi
䮚	lèng,líng
㺦	lián
𪤗	liào
䄦	liǎo
𥗀	liǎo
𡿩	liè
𪛈	líng
𠄖	líng
𦊓	lǐng
䯍	líng
䰱	líng
𡳞	lìn
㐭	lǐn
㷠	lín
㔂	lín
㨆	lǐn
𠻗	lí
䙰	lí
㑦	lì
䤙	lì
𨯅	lì
𡆯	lǐ
𩶘	lì
㒿	lí
䮥	lì
䴻	lí
䵓	lí
䮋	lì
䶘	lì
㸚	lǐ
㸚	lì
䍦	lí
䰘	liú,jiǎo
𠯿	liū
䱞	liú
𨢇	liù
䶉	liú
𠆾	liù
䱖	liú
㙀	liù
LKK	?
LKK	?
㑝	lòng
䮾	lòng
䮾	lóng
𪚓	lóng
㛞	lòng
䱾	lóu
𠞭	lóu
LP	?
LP	?
䜌	luán
䂮	lüè
㑼	lüè
㷍	lún
𩊚	luò
𣎆	luò
㰁	luǒ
㓢	luò
𠆁	luǒ
𦿊	lú
䩮	lù
㜢	lǚ
䱚	lù
䲐	lǔ
㛎	lǚ
䮉	lú
䴪	lù
䰕	lú
𠯿	lù
𧭜	lǜ
㓐	lù
𢲸	lǔ
㛬	lù
LZ	lóuzhǔ
lz	lóuzhǔ
䮮	mài
䣕	mǎ,mà
man	?
𪚢	mǎng
䵨	máng
𩷶	máng
𪈿	mán
𧖣	mán
㒼	mán
㛧	mǎn
㗈	màn
䭷	máo
㚹	mǎo
𢯾	mào
㑻	mà
䯦	mà
䳸	má
MB	?
䵢	mèi
䆀	měi
䴌	méng
䲛	méng
䴿	méng
䑃	méng
䰒	méng
㛯	miǎn,fàn
䰓	mián
㒙	mián
㦝	miǎo
㒝	miè,wà
䳟	míng
䲄	mín
㜷	mí
㧠	mí
𡄣	mí
䱊	mǐ
䭧	mǐ
䮭	mì
㴵	mì
ML	?
MMC卡	áimu-áimu-sēi kǎ
MM	měiméi
𠬛	mò,mà
䯢	mó,mǒ
𢗿	mò
𣋟	mǒ
䴲	mò
䱅	mò
𧕥	mò
䭩	mó
䳮	mò
䱕	móu,méi
MP3	áimu-pì-sān
MP3播放器	áimu-pì-sān 播fàngqì
MP4	áimu-pì-sì
MP4播放器	áimu-pì-sì 播fàngqì
MS卡	áimu-áisi kǎ
𩵦	mù
㟂	mǔ
𠺖	mǔ
䱯	mú
𪜮	mù
nɤ35	?
䯮	nái
䶲	nán,nàn,rán
𡆱	nǎn
㫱	nàn
㓓	nán
𪤟	nán
㫱	nǎn
䜀	nǎo
𢜸	náo
㑎	nǎo
䴃	náo
𪗝	nà
NB	niúbī
㐻	nèi
㲌	nèng
N	ēn
n	ēn
䭆	nè
𣲷	nì
𪓃	niǎng
㜤	niǎn
㮟	niǎn
㒟	niǎo
𩐭	niè
𠈊	niě
䯀	niè
䳖	niè
䯵	niè
𦘒	niè
𩖁	niè,yá
䭢	níng
䋻	nín
𠆵	ní
𨺙	nì
䵒	nì
𣲶	niǔ
䏔	niǔ
𩇔	nóng
䵜	nǒng
𡭾	nǒu
䰭	nòu
NP困難	ēn-pì-kùnnán
NP完全	ēn-pì-wánquán
NP難	ēn-pì-nán
㑚	nuó
㛂	nuǒ
䖡	nǜ
𪺹	nǔ
𥍞	nǜ
N站	?
N端	ēn-duān
N體問題	ēn-tǐ wèntí
OK	ōukèi
OK	ōukèi
OK繃	ōukēibèng,ōukēibàng
OP	?
𥈬	ōu
O型血	ōuxíng血
O形環	ōu-xínghuán
O環	ōu-huán
䯲	pā,bà
䱝	pái,bēi
𠂢	pài
䰉	pán,bān
䰔	pán
㚿	páo
㞎	pā
𣲩	pá
%	pā
PCB板	pì-sèi-bì bǎn
PC卡	pì-sèi kǎ
PC機	pì-sèi jī
𠁞	pēi
㱶	péng,bēng
䰃	péng,pèng,fǎng
㠮	pēng
��	pèng
㛁	pēng
䴶	péng
pH計	pì-éichi jì
𪘀	pián
䏒	piàn
㛹	pián
㓲	piān
䴩	piáo
𧽤	piāo
𢳂	piē
𩩍	pīng
䶄	píng
𣎳	pìn
PIN碼	pìn-mǎ
䯱	pī,pēi,fù
㓟	pí
䏘	pì
𣬉	pí
䲹	pí
𠜱	pī
䰦	pǐ
𦨭	pí
PK	pīkèi
PK就PK	pīkèi jiù pīkèi
play	?
PLP	?
PN接面	pì-ēn jiēmiàn
PN結	pì-ēn jié
𣎵	pō,pài
𣅽	pò,pèi
po	pōu
PO	pōu
䯙	pò
㛘	pò
𪜄	pǒ
POS機	pàosi-jī,pòusi-jī
䳝	pǒu,bù
䯽	póu,pǒu,bǎo
po主	pōuzhǔ
P	pī
PPT	pīpītì
PS2接口	pì-áisi èr jiēkǒu
PS	?
䴆	pú,pū
䲕	pū
䮒	pū
𥠵	pū
p值	pì-zhí
P波	pì-bō
p進數	pì-jìnshù
䯊	qià,kē
𩩝	qiāng
㛨	qiǎng
䵁	qiàng
㳾	qiāng
𠼢	qiàng
㐸	qiàn
䇂	qiān
䵖	qiàn
䭤	qiǎn
𪜍	qiān
䱁	qiáo
䵲	qiāo
䲾	qiǎo
㚽	qiǎo
㓞	qià
䶝	qià
𠜼	qiā
㓣	qià
𡘧	qiá
㓤	qià
䟙	qiè
𠁠	qiè
𪙑	qiè
𪙌	qiè
㛍	qiè
㛗	qiē,zuō,suō
䝼	qíng
𠨍	qīng
䲔	qíng
㓎	qīn,qìn,qǐn
𠓿	qín
䰼	qín,yín,shèn
㑋	qióng
㞚	qì
𨊰	qì
𢼄	qǐ
䱈	qí
䰴	qì
䲬	qí
䯥	qì
𠀣	qī
䳢	qí
𪜝	qí
䶒	qí
䶞	qí
䭫	qǐ
䏌	qì
㒅	qǐ
𠁭	qí
𠂃	qiú
㞗	qiú
㛏	qiú
㚱	qiū
Q	kiù
Q	kiù
Q	kiù
Q	kiù
Q	kiù
Q	kiù
𧊲	quán
㒽	quān
𨨗	quàn
𨟠	quān
𨟠	què
䆽	qú
䠐	qù
䧢	qū
𪨰	qū
𣮈	qū
𥬔	qū
䵶	qú
𠍲	qú
䶚	qǔ
㸖	qū
Q因子	kiùr-yīnzǐ
Q型流感	kòuxíng liúgǎn
Q棍	kǜgùn
Q熱	kòurè
Q版	kǜ bǎn
㒄	rǎn,nàng,nèn
䳿	rán
㚩	rǎn
㑱	rǎo
㭁	réng
㺱	réng
䚮	réng
䄧	réng
𦍌	rèn
𢆉	rěn
䒤	rì
RNA病毒	ér-ēn-ēi bìngdú
RNA酶	àr-ēn-ēi-méi
㘇	róng
䰆	róu
rt	rútí
RT	rútí
㓴	ruǎn
䎡	ruǎn
㓹	ruì
䰰	rú
䰄	sāi,shì
𧽾	sān
㺑	sāo
㒎	sà
㚫	sà
SD卡	áisi-dì kǎ
㒊	sè
䵰	shāng
䵼	shāng
䥇	shàn
𤺪	shàn
㺑	shǎn
㺑	shàn
䴮	shàn
𢒉	shǎn
鿃	shǎn
㚒	shǎn
㺑	shān
𥳓	shāo
𪘞	shāo
𣡽	shā
㲚	shā
㵤	shà
𠚺	shà
𤆅	shè,cè
䴤	shēng
䱆	shéng
㗂	shěng
䫖	shèn
𥥍	shèn
𥥍	shēn
䰠	shén
㑗	shēn
㚨	shěn
𧵳	shé
𥝀	shé
𥍉	shè
䀅	shè
𩰡	shǐ
䲽	shí
㒾	shì
䭄	shì
䶡	shí
𩰢	shǐ
䭭	shǒu
𠈅	shōu
䬽	shuì,duì
䭨	shuì
䳠	shuì,zhù
𢎦	shū
䴄	shùn
𧗱	shù
㽰	shù
𭒹	shǔ
𡤽	shǔ
㑐	shū
𠘧	shū
𤕠	shū
㒔	shǔ
㛸	shù
𪜟	shú
SIM卡	xīnkǎ
䲉	sī
SI制	áisi-ài zhì
SI單位制	áisi-ài dānwèizhì
SM	?
䯷	sōng
䯳	sōng
㞞	sóng
㩳	sǒng
𢯱	sōu
SPP	?
𩈲	suàn
𤭢	suì
䭉	suǐ
䵀	suǒ,suò
𠈱	suō
𧴪	suǒ
㛖	suō
㑉	sù
㑛	sù
䏋	sù
㙌	sù
𡕥	?
鿓	?
𪜔	?
𪜗	?
𪜐	?
𤫉	
𠱂	
𡃁	
𠯦	
𢠃	
𥖄	
䮣	
鿖	?
䲫	
䮌	
𪙕	?
㗅	?
鿗	?
䲭	
㝜	
䰗	
䰑	
鿘	?
鿙	?
鿚	?
鿛	?
鿜	?
鿝	?
鿞	?
鿡	?
鿠	?
鿢	?
鿣	?
鿤	?
鿥	?
鿦	?
鿧	?
鿨	?
鿩	?
䶴	
㒋	
㒭	
䲩	
𠁣	?
𠃛	?
𠝹	
𠝭	
𪗳	?
䶯	
𪜙	?
䳴	tà,dá
㑀	tài
𧉟	tāi
㬃	tái
䏙	tǎn
㛶	tàn
𪇘	táo
䵚	tǎo
𠦂	tāo
㒓	tà
𧌏	tà
䵬	tà
䍇	tà
䶁	tà
𣥂	tà
𦐇	tà
䶀	tà
㛥	tà
𧞅	tà
TA	tā
TF卡	tì-áifu kǎ
䡘	tián
𦗀	tián
㮇	tiàn
䡘䡘	tiántián
䯾	tiáo,diāo
㨄	tiáo
䠷	tiǎo
䳂	tiáo
䵿	tiè
䱓	tíng
䯕	tīng
㓅	tīng
䗴	tíng
𠄚	tīng
𪜦	tíng
䱓	tǐng
䬫	tí
䯜	tì
䱱	tí
䶑	tì
䖙	tī
TMD	tāmāde
TNT當量	tì-ēn-tì dāngliàng
䴀	tóng
㛚	tǒng
䮵	tóng
㸗	tóng
䶱	tóng,zhōng
䵉	tóu
䱏	tǒu
䵎	tuān
䵯	tuǎn
䀃	tuí
𧝋	tuí
䖘	tú
𡱂	tún
䀫	tǔn
𠀏	tún
𪏆	tūn,tuān
𤱡	tuó
䴱	tuō
T單位	Tì dānwèi
T型臺	tī-xíngtái
T尺	Tì chǐ
T恤	tì xù
T恤衫	tì xùshān
T臺	tī-tái
T骨	Tì gǔ
up主	àpu-zhǔ
U盤	yōupán
U盾	yōu-dùn
VCD機	wēi sèi dì jī
V字手勢	wēi-zì shǒushì
V系	wēi-xì
䶐	wài,huì
㗏	wāi
䴜	wāi
𨂿	wǎi
㓁	wǎng
㒬	wāng
䰣	wǎng
䘼	wǎn
䳃	wǎn
䯈	wán
𣥃	wàn
䵷	wā
䯉	wā
䮹	wèi,guì
䵋	wěi,huǐ
䔺	wéi,suí
㷉	wèi
䞔	wěi
䋿	wēi
䭳	wèi
㛱	wěi
䔺	wěi
䵳	wèi
𢼸	wéi
䔺	wéi
𠆎	wéi
䴧	wēi
䬿	wěi,wèi
㘢	wěng
䱵	wēng
𠂅	wèng
𦧅	wèng
㒚	wěn
䰚	wén
𪯡	wén
㬈	wēn
WHO	?
wiki	weíjī
Wiktionary:About Han script	jīng
Wiktionary:Beer parlour2014March	lìshǐ
𪁕	wò
䰀	wǒ
䮸	wò
𣁳	wò
WTO	?
㒇	wǔ,mù
𢄓	wù
𩵱	wǔ
㐳	wù
𩰌	wù
䮏	wú
㐵	wǔ,yú
W	wàn
W病	dábuliu-bìng
XD卡	áikèsi-dì kǎ
㟄	xiáng
䴂	xiàng
𡿤	xián
㽉	xiàn
㜷	xiǎn
䲗	xián
䱤	xiàn
𢎙	xián
䯹	xiān
䯭	xiān
𠜎	xiàn
䵇	xiàn
䶟	xiàn
㛾	xián
䵌	xiān
𠈬	xiāo
㺧	xiāo
𪁎	xiāo
䳂	xiāo
䴛	xiāo
𪛀	xiào
𡏘	xià
㐖	xié
㙦	xié
𧜵	xiè
𥀺	xiè
㒠	xiè
䵦	xiè
㞒	xiè,xì
𨭎	xǐ
䳙	xǐng
㓑	xìng
䰢	xìng
㛙	xīn,qiè,qín,shěn,shèn
㛛	xìn
㚾	xiōng
䯜	xí
㚛	xì
���	xī
䲪	xì
䮎	xì
䵱	xī
䭒	xī
㑶	xì
䵱	xì
䶋	xī
𠩺	xī
㓾	xī
㛓	xī
㛫	xī
㛭	xī
𧉁	xì
𪘆	xiū
㛢	xiù
XO醬	àikèsī'ōujiàng
𧝁	xuān
㘣	xuān
䲂	xuán
䮄	xuán
𠗻	xuán
㳬	xuán
㓩	xuān
䳦	xuān
𩰎	xuán,wēng
𥄎	xuè
䱑	xué
䭥	xuè
㒐	xùn
㜄	xún
䭀	xùn
㐨	xù
㑯	xǔ
䏏	xū
𠧝	xū
㜿	xù
䱬	xū
䳳	xù
䂆	xù
X光	áikesi guāng,àikèsī guāng
X光片	áikesi-guāngpiàn,áikesi-guāngpiān
X射線	àikèsī shèxiàn
X染色體	áikèsī-rǎnsètǐ
X軸	àikèsī-zhóu
𣝓	yǎn
㒕	yāng
䏐	yāng
䱀	yāng
䭐	yàng
𦍌	yáng
䵮	yàng
𨤎	yán
𣡕	yàn
𪙊	yàn
㫃	yǎn
𠆲	yǎn
𫳑	yān
㕣	yǎn
𤜵	yàn
䳺	yàn
㚧	yǎn
䲓	yǎn,yán
䳡	yàn,zhuī
㑸	yáo
䳩	yāo
䯚	yǎo
䴠	yǎo
㑾	yáo,xiáo
㳌	yā
䰲	yà
𪘲	yá,yí,yà
䲜	yè
𧌄	yè
㖡	yè
䭎	yè
䁆	yè
䱒	yè
𠄅	yè
𣚕	yè,yǎn
䭊	yǐng
𤇾	yìng
䭘	yǐng
𨜏	Yíng
䵴	yìng,yùn,zèng
㖗	yín
㥯	yǐn
㧢	yīn
𡇂	yīn
𡈲	yīn
䴦	yín
䡛	yìn
䱦	yín
䖐	yín
𪙤	yǐn
㹜	yín
𠄱	yí
㑊	yì
㑜	yì
㑥	yì
䋚	yì
䘝	yì
䄩	yì
㛳	yì
䭞	yì
㚤	yì
䰙	yǐ
㚦	yí
䭿	yì
㐌	yí
䴬	yì
䭂	yì
䱌	yí
𠅌	yí
䮊	yí
𫠠	yì
㓷	yì
䲑	yí
𪐔	yí
䭲	yǐ
𣿉	yì
𠂆	yì
䰯	yì
𪘲	yí
㛄	yī
𪤴	yì
𠀂	yǐ
䓪	yì
㶠	yì
㛕	yì
䵝	yì,yà
𪡐	yòu,huí
𡈰	yóu
䱂	yǒu
𧆘	yòu
𦎓	yōu
㒡	yóu
䀁	yòu
㚭	yóu
㛜	yóu
䍃	yóu,yáo
䳑	yǒu,yù
𢆶	yōu,zī
䵥	yù
䲮	yuán
䱲	yuán
䬼	yuàn
㜰	yuè
䠯	yuè
𩿠	yuè
䶳	yuè
𪘩	yǔn,kǔn
㜏	yún
㚺	yùn
䲰	yùn
𧶠	yù
㑨	yǔ
𨦫	yǔ
䋖	yù
䮙	yù
㒜	yǔ
䱷	yú
𡿥	yù
㚥	yú
㬂	yú
㘾	yǔ
㦽	yù
㒁	yǔ,yùn
䴁	yù,yú
Y染色體	wài-rǎnsètǐ
Y軸	wài-zhóu
䮨	zǎi
𢦏	zāi
𨚵	Zài
䵧	zài
𪓅	zāng
㜺	zàn
䲃	zǎo,suǒ,cháo
𪳤	zào
䰝	zèng
㳁	zè
䯔	zé
䶦	zé
㒀	zhāi,zhǎ
㜊	zhǎn
䱠	zhàn
䱼	zhǎn
䶨	zhān
㠭	zhǎn
㨄	zhào
㕚	zhǎo
㑿	zhào
䃎	zhà
㞚	zhǎ
𪗭	zhā
䮢	zhá
䶥	zhā
䵙	zhā
䄍	zhà
𧄠	zhá
䮜	zhá,yè
䵭	zhè
